clip_id,category,variant_label,source_subject,notes,path,bytes,sha256,source_url
105_14,walk,depressed,105,DepressedWalk,assets/animations/zombie_mocap/cmu/walk/depressed__105_14.fbx,392396,94821b5b53e47352f78bc08a5c4accf3bc0104acf535c61bf1f2175816b5be08,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/105_14.fbx
105_15,walk,clumsy,105,ClumsyWalk,assets/animations/zombie_mocap/cmu/walk/clumsy__105_15.fbx,437884,03b21453940ef3e5710ae77d8e2a18adcb8b49082896de36def27214630b0be8,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/105_15.fbx
105_16,walk,limp,105,Limp,assets/animations/zombie_mocap/cmu/walk/limp__105_16.fbx,298828,d64fb3e2daa86b12c59e4d73bdd66ce32f7063cf12e25bd3e8ca54ece4fdaf37,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/105_16.fbx
105_18,walk,careful_lookaround,105,CarefulWalk LookingAround,assets/animations/zombie_mocap/cmu/walk/careful_lookaround__105_18.fbx,460844,9c734697d6a9231ff2b5b250a6c2c4195f30003b76f2aeaaefd2fb20046d1ca0,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/105_18.fbx
105_21,walk,achey,105,acheyWalk,assets/animations/zombie_mocap/cmu/walk/achey__105_21.fbx,513676,845c06ff7b309df24098611dfc8217b29fd9692e6d3fbf5d4c384f6be8892bb8,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/105_21.fbx
105_24,walk,hurt_leg,105,HurtLegWalk,assets/animations/zombie_mocap/cmu/walk/hurt_leg__105_24.fbx,509548,13c1a3d8b3a315c9cf0ef6901399bddbc6cff078ce46476274424daa4e4ba502,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/105_24.fbx
105_25,walk,drag_bad_leg,105,DragBadLegWalk,assets/animations/zombie_mocap/cmu/walk/drag_bad_leg__105_25.fbx,439276,c0ea210e71568d5117f2cd2f34ef8a66153be0df999585cd0df061534e5f122c,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/105_25.fbx
105_26,walk,hurt_stomach,105,HurtStomachWalk,assets/animations/zombie_mocap/cmu/walk/hurt_stomach__105_26.fbx,311340,b785311fefbe5a746962d7818584cf20d6a6e68830b1ccb95420048918415194,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/105_26.fbx
105_27,walk,slow_alt,105,SlowWalk,assets/animations/zombie_mocap/cmu/walk/slow_alt__105_27.fbx,410828,4827e21094fa438df8316375719eb64237d232619cc35d3faa8b8358a0088c2c,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/105_27.fbx
105_32,walk,scared,105,ScaredWalk,assets/animations/zombie_mocap/cmu/walk/scared__105_32.fbx,497228,cce7c2174880f7b404f1c5bf159e00c495c0407d7a9a94534b036761997a5c7e,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/105_32.fbx
91_05,walk,mummy_alt,91,Mummy Walk,assets/animations/zombie_mocap/cmu/walk/mummy_alt__91_05.fbx,386428,05052cc03c973f1553a1088c4a75e2251152d354914ba76d77f3df8b56832c7f,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/91_05.fbx
91_09,walk,drunk_alt,91,DrunkWalk,assets/animations/zombie_mocap/cmu/walk/drunk_alt__91_09.fbx,699980,39b69b4e27c3579c56709c84d26c6f406990d3b8979d714be35208fc6ebaa4ee,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/91_09.fbx
91_13,walk,sad_alt,91,SadWalk,assets/animations/zombie_mocap/cmu/walk/sad_alt__91_13.fbx,415676,0d6aaa304b225097dcbe3b5cec554b974700f988279ce3919b7d41bb2b38dfc4,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/91_13.fbx
91_14,walk,depressed_alt,91,DepressedWalk,assets/animations/zombie_mocap/cmu/walk/depressed_alt__91_14.fbx,392380,de873f3a67eb299ef0217822a975ff8b9e2b1d0f26a25b7b06002dd738b18911,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/91_14.fbx
91_15,walk,clumsy_alt,91,ClumsyWalk,assets/animations/zombie_mocap/cmu/walk/clumsy_alt__91_15.fbx,437884,61293a1ee792af485d1d7dd6d14e7ab12d4d8f70da0f4d6ee06a9a273408425c,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/91_15.fbx
91_16,walk,limp_alt,91,Limp,assets/animations/zombie_mocap/cmu/walk/limp_alt__91_16.fbx,298812,7b1ca90223577e221f904d368661ba39c75df2e54db77060e2746a6e24c05aa8,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/91_16.fbx
91_18,walk,careful_lookaround_alt,91,CarefulWalk LookingAround,assets/animations/zombie_mocap/cmu/walk/careful_lookaround_alt__91_18.fbx,460828,50836396288bf08b23a8518296a2671a05d52c2495464fcfafd6cbe79860a900,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/91_18.fbx
91_21,walk,achey_alt,91,acheyWalk,assets/animations/zombie_mocap/cmu/walk/achey_alt__91_21.fbx,513676,592c15b845a8ce2f80f79bfd00283ed9df7735ed95a8e0910d437b2a10d3ecaf,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/91_21.fbx
91_24,walk,hurt_leg_alt,91,HurtLegWalk,assets/animations/zombie_mocap/cmu/walk/hurt_leg_alt__91_24.fbx,509548,aa8db420d6c86f9e1a1e610a4e79846717c1f1898448abce443356f8066b7f96,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/91_24.fbx
91_25,walk,drag_bad_leg_alt,91,DragBadLegWalk,assets/animations/zombie_mocap/cmu/walk/drag_bad_leg_alt__91_25.fbx,439260,c2f90768e2e6dea71ed33c7017666bc64b2a55b05e6309363c7af56c1644ff89,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/91_25.fbx
91_26,walk,hurt_stomach_alt,91,HurtStomachWalk,assets/animations/zombie_mocap/cmu/walk/hurt_stomach_alt__91_26.fbx,311340,a2c35086595ef0eb35416e8197d873c8e2755c72a0578a96ebc1f72462f452ed,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/91_26.fbx
91_27,walk,slow_alt2,91,SlowWalk,assets/animations/zombie_mocap/cmu/walk/slow_alt2__91_27.fbx,410812,459ff2552557509daaec85d54d27135fd31ccc0437f099449ea63a43a23c67c9,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/91_27.fbx
91_32,walk,scared_alt,91,ScaredWalk,assets/animations/zombie_mocap/cmu/walk/scared_alt__91_32.fbx,497212,48435c6afd4f2f95771dcfa9742e90bd331751218ee7b28401bfb9323d8ea201,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/91_32.fbx
74_01,walk,stiff_A,74,Stiff walk,assets/animations/zombie_mocap/cmu/walk/stiff_A__74_01.fbx,139212,3f4674bd661f96b398089223071005fa615ef10867543e489f79d85de3c87214,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/74_01.fbx
74_02,walk,stiff_B,74,Stiff walk alternate,assets/animations/zombie_mocap/cmu/walk/stiff_B__74_02.fbx,115692,5622c3100352eb56432e2646d493aa764598469cb05dbb33054a82aa6bd56885,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/74_02.fbx
74_20,walk,stiff_C,74,Stiff walk alternate,assets/animations/zombie_mocap/cmu/walk/stiff_C__74_20.fbx,152620,10627bd7a2429c1880e67665f479fbd92c8c14d5dd3759298ec7263fe6586314,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/74_20.fbx
77_14,walk,creeping_A,77,Careful creeping walk,assets/animations/zombie_mocap/cmu/walk/creeping_A__77_14.fbx,200380,8576746ad6a57ffaab2eff9e58339191207ba8a9dee3b8a670836ec1657afc97,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/77_14.fbx
77_15,walk,creeping_B,77,Careful creeping walk alternate,assets/animations/zombie_mocap/cmu/walk/creeping_B__77_15.fbx,209468,32f3e791ae8090ee352c2471acd35574a1108495a591e379be724e621113a134,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/77_15.fbx
111_03,crawl,crawl_A,111,Crawling,assets/animations/zombie_mocap/cmu/crawl/crawl_A__111_03.fbx,256364,d46c134706b931812e0eac935305fba8470f56d7cc192f84e37345253365cd61,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/111_03.fbx
133_01,crawl,walk_crawl_A,133,Walk Crawl,assets/animations/zombie_mocap/cmu/crawl/walk_crawl_A__133_01.fbx,243052,0e2d9d0d27d33bbda8f67d947f521d0adcf3cc4fa8d1a2286d32d52734831c6a,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/133_01.fbx
133_02,crawl,walk_crawl_B,133,Walk Crawl alternate,assets/animations/zombie_mocap/cmu/crawl/walk_crawl_B__133_02.fbx,250380,3c3e86abd2c75aba9437de6d6dec2f1865f6966654909a59eb70f52b62998e7b,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/133_02.fbx
140_01,getup,face_down_A,140,Get Up Face Down,assets/animations/zombie_mocap/cmu/getup/face_down_A__140_01.fbx,178588,2fa67d14dcdc7342b78870d1fdb1ab37397c41f90decfebef1a6733b77a4e3fe,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/140_01.fbx
140_02,getup,face_down_B,140,Get Up Face Down alternate,assets/animations/zombie_mocap/cmu/getup/face_down_B__140_02.fbx,190540,d10daff6fdabfe3235c08a0c9991c6ca1a0b1be91e0eed9db75a9c26e8e0642b,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/140_02.fbx
140_03,getup,side_A,140,Get Up Laying on Side,assets/animations/zombie_mocap/cmu/getup/side_A__140_03.fbx,201484,20247a30a0041c40823552d4c6523dd8fd543dd248e1c1a4f53dc3e59c66dd83,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/140_03.fbx
140_04,getup,side_B,140,Get Up Laying on Side alternate,assets/animations/zombie_mocap/cmu/getup/side_B__140_04.fbx,210460,ea7d76203cf8d93449e8faa6616e37c76757db4fd01c3a6a8a2413fbfe36ca9a,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/140_04.fbx
140_08,getup,back_A,140,Get Up From Ground Laying on Back,assets/animations/zombie_mocap/cmu/getup/back_A__140_08.fbx,187196,10c216e71012ae3dd2f93313bbf1e6eeb2156029e2a600e8b9e17218b3f0b774,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/140_08.fbx
140_09,getup,back_B,140,Get Up From Ground Laying on Back alternate,assets/animations/zombie_mocap/cmu/getup/back_B__140_09.fbx,176540,4e4a522b24bd9cd91e282cc9c71342d3bafbebb084129aeea04a95bd38509177,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/140_09.fbx
140_06,idle,idle_A,140,Idle,assets/animations/zombie_mocap/cmu/idle/idle_A__140_06.fbx,462300,b7d3e36d111d871dc10c0930972a70f8ee78eb4727b469ce82c43147d8bea83f,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/140_06.fbx
140_07,idle,idle_B,140,Idle alternate,assets/animations/zombie_mocap/cmu/idle/idle_B__140_07.fbx,211020,62b2ec52ce75ded7033ebd93c6b1202723efcedb087b647ea606bd9821408b1a,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/140_07.fbx
02_05,attack,strike_A,2,Punch/strike; candidate zombie swipe,assets/animations/zombie_mocap/cmu/attack/strike_A__02_05.fbx,293772,7abd5a0ccb91af58693a8e332cafdc6acbb41d5791ac96e9f14ba1c9927dd5c9,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/02_05.fbx
76_01,attack,backstep_strike,76,Walk backwards then attack with punch,assets/animations/zombie_mocap/cmu/attack/backstep_strike__76_01.fbx,190844,3ecb94ae795e82bdcfdc055607d7170c277b0dcd256db37a988f97332b0ab705,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/76_01.fbx
76_02,attack,feint_attack,76,"Walk backwards, feign attacks, then attack",assets/animations/zombie_mocap/cmu/attack/feint_attack__76_02.fbx,213948,eabe6500110a05dcb0e2a00c93d211474e19e2ea43bab981d6864f73b921a146,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/76_02.fbx
111_19,attack,punch_kick,111,Punch Kick; candidate frenzy attack,assets/animations/zombie_mocap/cmu/attack/punch_kick__111_19.fbx,199772,3fb924590a259bd503df722b0209403a125525a89bb265c3ff4f85986f639181,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/111_19.fbx
15_06,reach,reach_A,15,"Lean forward, reach for",assets/animations/zombie_mocap/cmu/reach/reach_A__15_06.fbx,489500,0eea4bd8b2a50c4fc1feed189616a0655e284bf712f045fb87c0d0735d90a670,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/15_06.fbx
15_07,reach,reach_B,15,"Lean forward, tiptoe, reach for",assets/animations/zombie_mocap/cmu/reach/reach_B__15_07.fbx,702860,a026f5a5655c8eff3fd89c4cb500152c96b91470c8e4c6a884ba79021f582c46,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/15_07.fbx
104_53,run_transition,start_run_A,104,StartRun,assets/animations/zombie_mocap/cmu/run_transition/start_run_A__104_53.fbx,119292,6232c9b811b8136b06ebf350d8797f21a63c838ef99034d9b1c7235fcc5e886d,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/104_53.fbx
104_54,run_transition,start_run_B,104,StartRun alternate,assets/animations/zombie_mocap/cmu/run_transition/start_run_B__104_54.fbx,113484,d13d4bb5a43157a933ec400af961106718a49db898a3f1bbf4af8238730415da,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/104_54.fbx
104_55,run_transition,start_run_C,104,StartRun alternate,assets/animations/zombie_mocap/cmu/run_transition/start_run_C__104_55.fbx,133084,240ba286d90edcb41764b54c7c6200253f1cb1c4f38676d3f88268ea943ae412,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/104_55.fbx
104_56,run_transition,run_stop_A,104,RunStop,assets/animations/zombie_mocap/cmu/run_transition/run_stop_A__104_56.fbx,129052,79b9e607e73e6f2286ce9288fece6db433030ec58810410ec7a25b7bd67cc837,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/104_56.fbx
104_57,run_transition,run_stop_B,104,RunStop alternate,assets/animations/zombie_mocap/cmu/run_transition/run_stop_B__104_57.fbx,131900,293f31ec52593530fac0a91e17f827f4fdec0d60ddaf8bfefbf01080af392cc5,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/104_57.fbx
111_12,death_candidate,lay_down,111,Lay down; candidate death/fall base,assets/animations/zombie_mocap/cmu/death_candidate/lay_down__111_12.fbx,258092,14ee5c06fb1ae8cda922681d02fec382565fbf7f67b642f6f83df94c9f96a16c,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/111_12.fbx
111_21,death_candidate,roll_over,111,Roll over; candidate grounded reaction,assets/animations/zombie_mocap/cmu/death_candidate/roll_over__111_21.fbx,327276,d2268a4c991b4b17a00dd6848ffca3192245f4982e684fe37d715f4d76d2e7c6,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/111_21.fbx
