model,animation,source,license,file,file_sha256
Zombie_Basic,Run,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Basic.gltf,c6eab64ef87f89cbd6862b59964b20024ca7e329d3d44f72c76fced6c24861c8
Zombie_Basic,Run_Arms,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Basic.gltf,c6eab64ef87f89cbd6862b59964b20024ca7e329d3d44f72c76fced6c24861c8
Zombie_Basic,Run_Attack,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Basic.gltf,c6eab64ef87f89cbd6862b59964b20024ca7e329d3d44f72c76fced6c24861c8
Zombie_Basic,Walk,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Basic.gltf,c6eab64ef87f89cbd6862b59964b20024ca7e329d3d44f72c76fced6c24861c8
Zombie_Basic,Wave,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Basic.gltf,c6eab64ef87f89cbd6862b59964b20024ca7e329d3d44f72c76fced6c24861c8
Zombie_Basic,Yes,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Basic.gltf,c6eab64ef87f89cbd6862b59964b20024ca7e329d3d44f72c76fced6c24861c8
Zombie_Chubby,Crawl,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Chubby.gltf,7c65bae6f0c5f7754ca177a7de7658fc0e4c8de7c8aff33a872d7ffff57a423c
Zombie_Chubby,Death,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Chubby.gltf,7c65bae6f0c5f7754ca177a7de7658fc0e4c8de7c8aff33a872d7ffff57a423c
Zombie_Chubby,HitReact,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Chubby.gltf,7c65bae6f0c5f7754ca177a7de7658fc0e4c8de7c8aff33a872d7ffff57a423c
Zombie_Chubby,Idle,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Chubby.gltf,7c65bae6f0c5f7754ca177a7de7658fc0e4c8de7c8aff33a872d7ffff57a423c
Zombie_Chubby,Idle_Attack,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Chubby.gltf,7c65bae6f0c5f7754ca177a7de7658fc0e4c8de7c8aff33a872d7ffff57a423c
Zombie_Chubby,Jump,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Chubby.gltf,7c65bae6f0c5f7754ca177a7de7658fc0e4c8de7c8aff33a872d7ffff57a423c
Zombie_Chubby,Jump_Idle,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Chubby.gltf,7c65bae6f0c5f7754ca177a7de7658fc0e4c8de7c8aff33a872d7ffff57a423c
Zombie_Chubby,Jump_Land,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Chubby.gltf,7c65bae6f0c5f7754ca177a7de7658fc0e4c8de7c8aff33a872d7ffff57a423c
Zombie_Chubby,No,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Chubby.gltf,7c65bae6f0c5f7754ca177a7de7658fc0e4c8de7c8aff33a872d7ffff57a423c
Zombie_Chubby,Punch,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Chubby.gltf,7c65bae6f0c5f7754ca177a7de7658fc0e4c8de7c8aff33a872d7ffff57a423c
Zombie_Chubby,Run,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Chubby.gltf,7c65bae6f0c5f7754ca177a7de7658fc0e4c8de7c8aff33a872d7ffff57a423c
Zombie_Chubby,Run_Arms,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Chubby.gltf,7c65bae6f0c5f7754ca177a7de7658fc0e4c8de7c8aff33a872d7ffff57a423c
Zombie_Chubby,Run_Attack,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Chubby.gltf,7c65bae6f0c5f7754ca177a7de7658fc0e4c8de7c8aff33a872d7ffff57a423c
Zombie_Chubby,Walk,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Chubby.gltf,7c65bae6f0c5f7754ca177a7de7658fc0e4c8de7c8aff33a872d7ffff57a423c
Zombie_Chubby,Wave,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Chubby.gltf,7c65bae6f0c5f7754ca177a7de7658fc0e4c8de7c8aff33a872d7ffff57a423c
Zombie_Chubby,Yes,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Chubby.gltf,7c65bae6f0c5f7754ca177a7de7658fc0e4c8de7c8aff33a872d7ffff57a423c
Zombie_Arm,Death,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Arm.gltf,6b43b8e282afce1129858cd470430d0f891e83ec2604e0684638c3da3e0c25bf
Zombie_Arm,HitReact,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Arm.gltf,6b43b8e282afce1129858cd470430d0f891e83ec2604e0684638c3da3e0c25bf
Zombie_Arm,Idle,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Arm.gltf,6b43b8e282afce1129858cd470430d0f891e83ec2604e0684638c3da3e0c25bf
Zombie_Arm,Jump,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Arm.gltf,6b43b8e282afce1129858cd470430d0f891e83ec2604e0684638c3da3e0c25bf
Zombie_Arm,Jump_Idle,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Arm.gltf,6b43b8e282afce1129858cd470430d0f891e83ec2604e0684638c3da3e0c25bf
Zombie_Arm,Jump_Land,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Arm.gltf,6b43b8e282afce1129858cd470430d0f891e83ec2604e0684638c3da3e0c25bf
Zombie_Arm,No,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Arm.gltf,6b43b8e282afce1129858cd470430d0f891e83ec2604e0684638c3da3e0c25bf
Zombie_Arm,Punch,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Arm.gltf,6b43b8e282afce1129858cd470430d0f891e83ec2604e0684638c3da3e0c25bf
Zombie_Arm,Run,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Arm.gltf,6b43b8e282afce1129858cd470430d0f891e83ec2604e0684638c3da3e0c25bf
Zombie_Arm,Run_Arms,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Arm.gltf,6b43b8e282afce1129858cd470430d0f891e83ec2604e0684638c3da3e0c25bf
Zombie_Arm,Run_Attack,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Arm.gltf,6b43b8e282afce1129858cd470430d0f891e83ec2604e0684638c3da3e0c25bf
Zombie_Arm,Walk,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Arm.gltf,6b43b8e282afce1129858cd470430d0f891e83ec2604e0684638c3da3e0c25bf
Zombie_Arm,Wave,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Arm.gltf,6b43b8e282afce1129858cd470430d0f891e83ec2604e0684638c3da3e0c25bf
Zombie_Arm,Yes,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Arm.gltf,6b43b8e282afce1129858cd470430d0f891e83ec2604e0684638c3da3e0c25bf
Zombie_Ribcage,Crawl,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Ribcage.gltf,3b9ee3e504e34e6b1421076e9c51bc5d6a647350900eb6aa214d0a62491866f3
Zombie_Ribcage,Death,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Ribcage.gltf,3b9ee3e504e34e6b1421076e9c51bc5d6a647350900eb6aa214d0a62491866f3
Zombie_Ribcage,HitReact,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Ribcage.gltf,3b9ee3e504e34e6b1421076e9c51bc5d6a647350900eb6aa214d0a62491866f3
Zombie_Ribcage,Idle,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Ribcage.gltf,3b9ee3e504e34e6b1421076e9c51bc5d6a647350900eb6aa214d0a62491866f3
Zombie_Ribcage,Jump,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Ribcage.gltf,3b9ee3e504e34e6b1421076e9c51bc5d6a647350900eb6aa214d0a62491866f3
Zombie_Ribcage,Jump_Idle,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Ribcage.gltf,3b9ee3e504e34e6b1421076e9c51bc5d6a647350900eb6aa214d0a62491866f3
Zombie_Ribcage,Jump_Land,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Ribcage.gltf,3b9ee3e504e34e6b1421076e9c51bc5d6a647350900eb6aa214d0a62491866f3
Zombie_Ribcage,Run,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Ribcage.gltf,3b9ee3e504e34e6b1421076e9c51bc5d6a647350900eb6aa214d0a62491866f3
Zombie_Ribcage,Walk,Quaternius Zombie Apocalypse Kit,CC0-1.0,assets/animations/zombie_mocap/quaternius_zombie_apocalypse/Zombie_Ribcage.gltf,3b9ee3e504e34e6b1421076e9c51bc5d6a647350900eb6aa214d0a62491866f3
